"","eeebo1080.bin"
"away-off",0.845439871225742
"before-after",0.786334630093764
"best-wisest",0.680504127228664
"cats-dogs",0.81515178753713
"body-substance",0.684791715157418
"cause-effects",0.517709758243311
"children-parents",0.846147576414146
"mother-sister",0.801369801421423
"father-mother",0.759552689330939
"nephew-uncle",0.871771249305478
"niece-aunt",0.800125275999903
"cream-butter",0.846667238997824
"sister-brother",0.847043113902341
"bride-bridegroom",0.888826579089536
"fish-fowl",0.843034353732847
"city-town",0.785089903213517
"christ-jesus",0.775495895585499
"tree-plant",0.676802204273136
"drink-eat",0.825688524156447
"grass-green",0.755574946287213
"tide-wave",0.658928587425275
"door-window",0.825824446493025
"come-go",0.824685075652928
"apples-pears",0.804183973411493
"hair-tresses",0.732778878195018
"darness-gloom",NA
"ocean-seas",0.837096013593151
"old-young",0.581844286004061
"day-night",0.739051104358214
"husband-wife",0.788018970195121
"day-night",0.739051104358214
"salt-sugar",0.797358045820257
"month-year",0.834830819614217
"moon-sun",0.849065290561943
"sea-seas",0.789473062051214
"dear-friend",0.677914759213273
"earth-heaven",0.668926731000388
"eye-glance",0.707932512766064
"fear-dread",0.746500408310144
"first-second",0.69176918656929
"find-think",0.716160609430013
"give-leave",0.686583047405658
"god-almighty",0.596746398386135
"good-bad",0.667712740469677
"head-shoulders",0.729081317106764
"heart-soul",0.70015036461076
"lord-god",0.558460986279654
"hand-arm",0.711213844825948
"ship-boat",0.87360513681892
"ireland-england",0.833416218146286
"france-spain",0.901990360430365
"lake-river",0.777823901681884
"dance-play",0.762713793628913
"girl-boy",0.772551610110557
"honour-reputation",0.372820992775772
"kind-sort",0.767450053645204
"king-prince",0.777898356399826
"leave-quit",0.715153397246326
"follow-lead",0.586864573050352
"egg-yolk",0.799204329149597
"hat-coat",0.775391194141064
"life-death",0.685654823213698
"rain-rains",0.735693049307826
"inside-outside",0.795950578200237
"lady-gentleman",0.653894662886807
"better-worse",0.687329321842508
"money-cash",0.710478482299147
"book-volume",0.80043001468995
"snow-snows",0.709571994948218
"ice-snow",0.717092494398731
"holy-sacred",0.632150601887018
"rock-rocky",0.561873009418516
"beer-ale",0.902272845820188
"women-men",0.664150810378947
"shore-coast",0.818320922647999
"angel-guardian",0.481798976488152
"red-white",0.888275479927115
"woman-man",0.609198698675838
"large-small",0.744613466485135
"morning-evening",0.928171149447575
"mr-mrs",0.710098392771184
"scripture-scriptures",0.879948543517658
"queen-princess",0.798085256992253
"light-beams",0.724073390211378
"little-small",0.774022087679321
